Accelrys Draw/Biovia Draw
AGL feline sensors
AGL2 Firmware Updater.exe
aramhuvis
Anne-Marie Fitzpatrick
-> should the video editing request come to a creative GIT team at colgate that can help with basic video editing for users
Bluehill 3
Automation Engine
Camstudio
Canon EOS Digital (Solution Disk & Software Instruction Manual)
Cape Pack
Cape Pack
Charm NovaLink
Digital signature driver for Viettel-CA
Escort console Pro
Esko Studio Viewer
Extensis Fusion
Fitflow
Fizz Portable
FreeCAD
GaBi Envision
Mecmesin Emperor
Gen 5
Globus connect Personal
Golden Helix - SVS
GRAMS Suite
Dymo Connect
Hyperquad Simulation and Speciation
Hyperquad2013 software suite
IDT Motion Studio
Imaris Batch
Imaris- (C1 + floating license manager)
MobaXTerm Professional
JDA Space Planning
JESS
JMP Statistical software
LabelMark
Labguard 3D Integral Pack
Lablite
Las X
MadgeTech
MassHunter
Mastersizer 2000
Materialise MiniMagics
Matlab
MCPC Moisture Computer with RS-232 interface Model AM-MCPC-RS
Medoc Probe Device Application
Memobase Plus CYZ71D
Micro focus Unified Functional Testing
Microsoft Visual Studio
Mind Manager
Scout
NIST Database
NX
OECD toolbox (QSARToolbox)
Open lab Ezchrom
PhreeqC
JupyterLab
Quanvert
Remote Client
Rheocalc T
Rhinoceros
INKSCAPE
SciDAVis
Seavus Project Viewer
Shop Floor Reporting
Shop Floor Reporting OCX Files
Sick CDS
Siemens NX
Sketch
Skintools
Sky CRM Customer Development
Sky CRM Hills
SlimStat
Smart 11 Software
SmartSketch
SMG
SpinFire Professional
LCMicro
nCounter Advanced Analysis 
Tiamo
ToolsGroup for LATAM Region
ToolsGroup for Mexico Region
ToolsGroup for Southern Cone Region
ToolsGroup for Thailand Region
USP40NF35
ValSuite Pro
Arksigner
Wiley NIST Mass Spectral library
Winshuttle
R
ITS P2+
Belysa® Immunoassay Curve Fitting Software
Jadens Thermal Label Printer
CADtools
R (with nSolver)
Belysa® Immunoassay Curve Fitting Software
FigTree
JupyterLab
Orange
LTspice
Dymo Connect
nSolver
Cytoscape
Axis Camera Station
Axis Camera Station
AIST
Gephi
TypeSquare Desktop Manager
R-Studio Desktop
Open Lab
Chromeleon
INKSCAPE
Automation Engine
Imagine Engine
Imagine Engine
Cordless Scan to Connect Utility
"
Deskpack
"Artpro+"
"Artpro+"
RheoPlus
Ansys Zemax OpticStudio Pro
Smart-Vue Wireless Monitoring Solution
PlaybackInstallation"
Autodesk Maya
FlowJo
cab Windows Driver New
R
R
R
Mark-10 USB Driver
XQuartz
Message Pro
MySirius
FlowAccessV3
FlowAccessV3
FlowAccess
Rees Centron Presidio
Matlab
nSolver
IFPrograms Software
FLIR Thermal Studio
FLIR Thermal Studio
scripting tool for SAP
FET Data Collection Software
Advantage
Gen5
EasyLog USB
Autorun Max! Application
WacomTablet
Rayplicker Vision Software
TS Manager
UaExpert
Adobe AEM Forms Designer
BME AI Studio
WacomTablet
Exponent Connect
Dicksonware 2.0 Secure
trinamiX Spectroscopy App
Spinsolve 2.3.8-AllUsers
EMS W900B
PreSens Measurement Studio 2
Cary Win UV Color
