Date,Close
2004-02-02,24.920000
2004-02-03,24.980000
2004-02-04,24.230000
2004-02-05,24.270000
2004-02-06,24.889999
2004-02-09,24.770000
2004-02-10,24.920000
2004-02-11,25.139999
2004-02-12,24.889999
2004-02-13,24.680000
2004-02-17,24.969999
2004-02-18,24.940001
2004-02-19,24.559999
2004-02-20,24.379999
2004-02-23,23.950001
2004-02-24,23.930000
2004-02-25,24.190001
2004-02-26,24.320000
2004-02-27,24.219999
2004-03-01,24.540001
2004-03-02,24.330000
2004-03-03,24.190001
2004-03-04,24.440001
2004-03-05,24.280001
2004-03-08,23.680000
2004-03-09,23.490000
2004-03-10,23.150000
2004-03-11,22.920000
2004-03-12,23.469999
2004-03-15,22.920000
2004-03-16,23.020000
2004-03-17,23.389999
2004-03-18,23.190001
2004-03-19,22.820000
2004-03-22,22.490000
2004-03-23,22.440001
2004-03-24,22.629999
2004-03-25,23.400000
2004-03-26,23.290001
2004-03-29,23.680000
2004-03-30,23.730000
2004-03-31,23.580000
2004-04-01,23.830000
2004-04-02,24.440001
2004-04-05,24.709999
2004-04-06,24.379999
2004-04-07,24.200001
2004-04-08,24.280001
2004-04-12,24.389999
2004-04-13,24.040001
2004-04-14,23.980000
2004-04-15,23.600000
2004-04-16,23.360001
2004-04-19,23.620001
2004-04-20,23.049999
2004-04-21,23.360001
2004-04-22,23.719999
2004-04-23,24.059999
2004-04-26,23.750000
2004-04-27,23.600000
2004-04-28,23.129999
2004-04-29,22.670000
2004-04-30,22.190001
2004-05-03,22.350000
2004-05-04,22.580000
2004-05-05,22.660000
2004-05-06,22.530001
2004-05-07,22.510000
2004-05-10,22.400000
2004-05-11,22.809999
2004-05-12,22.660000
2004-05-13,22.700001
2004-05-14,22.320000
2004-05-17,22.000000
2004-05-18,22.260000
2004-05-19,22.360001
2004-05-20,22.350000
2004-05-21,22.490000
2004-05-24,22.590000
2004-05-25,23.090000
2004-05-26,23.200001
2004-05-27,23.290001
2004-05-28,23.360001
2004-06-01,23.309999
2004-06-02,23.209999
2004-06-03,22.840000
2004-06-04,23.129999
2004-06-07,23.730000
2004-06-08,23.820000
2004-06-09,23.440001
2004-06-10,23.570000
2004-06-14,23.200001
2004-06-15,23.500000
2004-06-16,23.420000
2004-06-17,23.150000
2004-06-18,23.190001
2004-06-21,23.020000
2004-06-22,23.370001
2004-06-23,23.750000
2004-06-24,23.629999
2004-06-25,23.660000
2004-06-28,23.530001
2004-06-29,23.790001
2004-06-30,23.920000
2004-07-01,23.410000
2004-07-02,23.170000
2004-07-06,22.500000
2004-07-07,22.600000
2004-07-08,22.250000
2004-07-09,22.480000
2004-07-12,22.309999
2004-07-13,22.209999
2004-07-14,21.799999
2004-07-15,21.780001
2004-07-16,21.420000
2004-07-19,21.510000
2004-07-20,21.959999
2004-07-21,21.459999
2004-07-22,21.790001
2004-07-23,21.260000
2004-07-26,21.230000
2004-07-27,21.459999
2004-07-28,21.379999
2004-07-29,21.740000
2004-07-30,21.850000
2004-08-02,21.930000
2004-08-03,21.450001
2004-08-04,21.510000
2004-08-05,21.170000
2004-08-06,20.570000
2004-08-09,20.559999
2004-08-10,20.940001
2004-08-11,20.330000
2004-08-12,19.799999
2004-08-13,19.940001
2004-08-16,20.160000
2004-08-17,20.340000
2004-08-18,20.820000
2004-08-19,20.690001
2004-08-20,20.840000
2004-08-23,20.950001
2004-08-24,20.809999
2004-08-25,21.090000
2004-08-26,20.950001
2004-08-27,21.090000
2004-08-30,20.770000
2004-08-31,20.719999
2004-09-01,20.860001
2004-09-02,21.090000
2004-09-03,20.570000
2004-09-07,20.680000
2004-09-08,20.660000
2004-09-09,21.080000
2004-09-10,21.510000
2004-09-13,21.670000
2004-09-14,21.709999
2004-09-15,21.370001
2004-09-16,21.420000
2004-09-17,21.500000
2004-09-20,21.629999
2004-09-21,21.790001
2004-09-22,21.370001
2004-09-23,21.410000
2004-09-24,21.200001
2004-09-27,20.990000
2004-09-28,21.010000
2004-09-29,21.309999
2004-09-30,21.389999
2004-10-01,22.049999
2004-10-04,22.219999
2004-10-05,22.299999
2004-10-06,22.480000
2004-10-07,22.230000
2004-10-08,21.799999
2004-10-11,21.870001
2004-10-12,21.750000
2004-10-13,21.780001
2004-10-14,21.559999
2004-10-15,21.610001
2004-10-18,21.900000
2004-10-19,21.920000
2004-10-20,21.990000
2004-10-21,22.299999
2004-10-22,21.790001
2004-10-25,21.790001
2004-10-26,21.860001
2004-10-27,22.400000
2004-10-28,22.480000
2004-10-29,22.500000
2004-11-01,22.570000
2004-11-02,22.670000
2004-11-03,22.760000
2004-11-04,22.990000
2004-11-05,23.219999
2004-11-08,23.240000
2004-11-09,23.230000
2004-11-10,22.990000
2004-11-11,23.330000
2004-11-12,23.680000
2004-11-15,23.860001
2004-11-16,23.680000
2004-11-17,24.030001
2004-11-18,24.120001
2004-11-19,23.660000
2004-11-22,23.790001
2004-11-23,23.680000
2004-11-24,23.889999
2004-11-26,23.799999
2004-11-29,23.860001
2004-11-30,23.680000
2004-12-01,24.270000
2004-12-02,24.250000
2004-12-03,24.480000
2004-12-06,24.639999
2004-12-07,24.200001
2004-12-08,24.200001
2004-12-09,24.129999
2004-12-10,24.040001
2004-12-13,24.250000
2004-12-14,24.379999
2004-12-15,24.440001
2004-12-16,24.250000
2004-12-17,24.020000
2004-12-20,23.940001
2004-12-21,23.900000
2004-12-22,23.980000
2004-12-23,24.010000
2004-12-27,23.889999
2004-12-28,24.030001
2004-12-29,24.059999
2004-12-30,24.080000
2004-12-31,24.080000
2005-01-03,23.830000
2005-01-04,23.299999
2005-01-05,23.160000
2005-01-06,23.080000
2005-01-07,23.100000
2005-01-10,23.160000
2005-01-11,22.889999
2005-01-12,23.030001
2005-01-13,22.809999
2005-01-14,22.959999
2005-01-18,23.170000
2005-01-19,22.690001
2005-01-20,22.510000
2005-01-21,22.320000
2005-01-24,22.030001
2005-01-25,22.170000
2005-01-26,22.440001
2005-01-27,22.500000
2005-01-28,22.430000
2005-01-31,22.700001
2005-02-01,22.780001
2005-02-02,22.820000
2005-02-03,22.600000
2005-02-04,23.030001
2005-02-07,23.010000
2005-02-08,23.090000
2005-02-09,22.719999
2005-02-10,22.719999
2005-02-11,22.990000
2005-02-14,23.059999
2005-02-15,23.190001
2005-02-16,23.100000
2005-02-17,22.780001
2005-02-18,22.730000
2005-02-22,22.490000
2005-02-23,22.440001
2005-02-24,22.690001
2005-02-25,22.850000
2005-02-28,22.780001
2005-03-01,23.010000
2005-03-02,22.930000
2005-03-03,22.790001
2005-03-04,22.879999
2005-03-07,23.170000
2005-03-08,22.959999
2005-03-09,22.889999
2005-03-10,22.980000
2005-03-11,22.660000
2005-03-14,22.760000
2005-03-15,22.540001
2005-03-16,22.309999
